name,name_local_hi,name_local_kn,name_local_ta,name_local_bn,category,sub_category,veg_type,cuisine_regions,kcal,protein_g,carb_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_a_ug,vitamin_c_mg,vitamin_d_ug,vitamin_b12_ug,folate_ug,omega3_g,gi,glycemic_load_per_100g,allergens,fodmap_level,disease_allowed,disease_restricted,seasonality,cost_tier,unit_cost_inr,default_portion_g,default_portion_desc,source
White Rice (raw),चावल,ಅಕ್ಕಿ,அரிசி,চাল,CEREAL_MILLET,rice,VEG,pan_indian,345,6.8,78.2,0.5,0.6,0.1,1,115,10,0.7,0,0,0,0,8,0.01,73,57,,low,,diabetes_t2;pcos,all,economy,3,40,½ cup raw,IFCT-2017-est
Brown Rice (raw),ब्राउन चावल,ಕಂದು ಅಕ್ಕಿ,கைக்குத்தல் அரிசி,বাদামি চাল,CEREAL_MILLET,rice,VEG,pan_indian,362,7.5,76.0,2.7,3.5,0.9,5,265,33,1.8,0,0,0,0,20,0.04,68,52,,low,diabetes_t2;weight_loss,,all,standard,8,40,½ cup raw,IFCT-2017-est
Basmati Rice,बासमती,ಬಾಸ್ಮತಿ,பாஸ்மதி,বাসমতি,CEREAL_MILLET,rice,VEG,north_indian;hyderabadi,348,7.1,77.5,0.9,1.0,0.1,1,115,9,0.6,0,0,0,0,11,0.01,58,45,,low,,,all,standard,12,40,½ cup raw,IFCT-2017-est
Red Rice,लाल चावल,ಕೆಂಪು ಅಕ್ಕಿ,சிவப்பு அரிசி,লাল চাল,CEREAL_MILLET,rice,VEG,karnataka;kerala,365,7.0,76.5,2.8,3.5,0.5,4,250,15,1.0,0,0,0,0,20,0.03,55,42,,low,diabetes_t2;weight_loss;pcos,,all,standard,15,40,½ cup raw,IFCT-2017-est
Rice Flakes (Poha),पोहा,ಅವಲಕ್ಕಿ,அவல்,চিড়া,CEREAL_MILLET,rice,VEG,pan_indian,346,6.6,77.0,1.2,1.0,0.0,11,140,20,2.5,0,0,0,0,10,0.02,65,50,,low,,,all,economy,5,30,1 cup,IFCT-2017-est
Puffed Rice (Murmura),मुरमुरा,ಮಂಡಕ್ಕಿ,பொரி,মুড়ি,CEREAL_MILLET,rice,VEG,pan_indian,325,7.0,78.0,0.5,0.8,0.5,5,90,10,0.4,0,0,0,0,5,0.01,80,62,,low,,diabetes_t2,all,economy,4,20,1½ cup,IFCT-2017-est
Wheat Flour (Whole),गेहूं का आटा,ಗೋಧಿ ಹಿಟ್ಟು,கோதுமை மாவு,আটা,CEREAL_MILLET,wheat,VEG,north_indian;pan_indian,341,12.1,69.4,1.7,11.2,2.4,3,340,30,4.0,0,0,0,0,40,0.05,68,47,gluten,moderate,,gluten_intolerance;coeliac,all,economy,4,30,2 small rotis,IFCT-2017-est
Wheat Suji (Semolina),सूजी,ಸೂಜಿ,ரவை,সুজি,CEREAL_MILLET,wheat,VEG,pan_indian,348,10.5,72.0,1.0,3.5,0.5,2,150,20,1.0,0,0,0,0,30,0.02,66,48,gluten,low,,coeliac;gluten_intolerance,all,economy,5,30,½ cup,IFCT-2017-est
Bulgur Wheat (Daliya),दलिया,ಗೋಧಿ ರವೆ,கோதுமை தாலியா,ডালিয়া,CEREAL_MILLET,wheat,VEG,north_indian,342,12.3,69.0,1.3,12.5,0.8,7,350,35,2.5,0,0,0,0,38,0.05,48,33,gluten,moderate,diabetes_t2;weight_loss,coeliac,all,economy,8,30,½ cup,IFCT-2017-est
Ragi (Finger Millet),रागी,ರಾಗಿ,கேழ்வரகு,রাগী,CEREAL_MILLET,millet,VEG,karnataka;tamil_nadu;andhra,336,7.3,72.0,1.3,11.5,0.0,11,408,344,3.9,3,1.5,0,0,18,0.04,67,48,,low,diabetes_t2;weight_loss;anaemia;osteoporosis;pcos,,all,economy,5,30,2 small rotis,IFCT-2017-est
Jowar (Sorghum),ज्वार,ಜೋಳ,சோளம்,জোয়ার,CEREAL_MILLET,millet,VEG,karnataka;maharashtra;andhra,329,10.4,67.7,1.9,9.7,0.5,7,328,25,3.0,0,0,0,0,20,0.06,62,42,,low,diabetes_t2;weight_loss;pcos,,all,economy,4,30,2 small rotis,IFCT-2017-est
Bajra (Pearl Millet),बाजरा,ಸಜ್ಜೆ,கம்பு,বাজরা,CEREAL_MILLET,millet,VEG,rajasthan;gujarat;maharashtra,347,10.9,61.8,5.0,11.5,0.0,11,365,42,8.0,0,0,0,0,42,0.14,55,34,,low,diabetes_t2;anaemia;winter,,winter,economy,4,30,2 small rotis,IFCT-2017-est
Foxtail Millet (Navane),कंगनी,ನವಣೆ,தினை,কাঁকনি,CEREAL_MILLET,millet,VEG,karnataka;tamil_nadu;andhra,331,12.3,60.0,4.3,8.0,0.0,5,250,31,2.8,0,0,0,0,15,0.08,50,30,,low,diabetes_t2;weight_loss;pcos,,all,economy,8,30,½ cup raw,IFCT-2017-est
Little Millet (Saame),कुटकी,ಸಾಮೆ,சாமை,কুটকি,CEREAL_MILLET,millet,VEG,karnataka;tamil_nadu,341,7.7,67.0,4.7,7.6,0.0,8,180,17,9.3,0,0,0,0,8,0.05,52,32,,low,diabetes_t2;weight_loss;anaemia,,all,standard,15,30,½ cup raw,IFCT-2017-est
Kodo Millet (Arka),कोदो,ಹಾರಕ,வரகு,কোদো,CEREAL_MILLET,millet,VEG,karnataka;tamil_nadu,353,8.3,65.9,1.4,9.0,0.0,3,144,27,2.0,0,0,0,0,8,0.04,53,32,,low,diabetes_t2;weight_loss;pcos,,all,standard,12,30,½ cup raw,IFCT-2017-est
Barnyard Millet (Oodalu),झंगोरा,ಊದಲು,குதிரைவாலி,বার্নয়ার্ড,CEREAL_MILLET,millet,VEG,karnataka;uttarakhand,342,11.2,65.5,3.9,10.1,0.0,5,200,22,5.0,0,0,0,0,10,0.05,50,30,,low,diabetes_t2;weight_loss;fasting,,all,standard,15,30,½ cup raw,IFCT-2017-est
