from_food,to_food,context_slot,reason,similarity_score
White Rice (raw),Brown Rice (raw),,low_gi,0.85
White Rice (raw),Red Rice,,low_gi,0.85
White Rice (raw),Basmati Rice,,low_gi,0.90
White Rice (raw),Quinoa,,high_protein,0.65
White Rice (raw),Ragi (Finger Millet),,diabetes_t2,0.70
White Rice (raw),Jowar (Sorghum),,diabetes_t2,0.70
White Rice (raw),Foxtail Millet (Navane),,diabetes_t2,0.72
White Rice (raw),Little Millet (Saame),,diabetes_t2,0.72
White Rice (raw),Barnyard Millet (Oodalu),,diabetes_t2,0.72
White Rice (raw),Barley (Jau),,diabetes_t2,0.68
White Rice (raw),Bulgur Wheat (Daliya),,diabetes_t2,0.70
Brown Rice (raw),Red Rice,,low_gi,0.95
Brown Rice (raw),Quinoa,,high_protein,0.70
Wheat Flour (Whole),Ragi (Finger Millet),,gluten_free,0.65
Wheat Flour (Whole),Jowar (Sorghum),,gluten_free,0.70
Wheat Flour (Whole),Bajra (Pearl Millet),,gluten_free,0.65
Wheat Flour (Whole),Multigrain Roti,,low_gi,0.85
Roti (Whole Wheat, cooked),Multigrain Roti,,low_gi,0.85
Roti (Whole Wheat, cooked),Jowar Rotla,,gluten_free,0.70
Roti (Whole Wheat, cooked),Bajra Rotla,,gluten_free,0.70
Roti (Whole Wheat, cooked),Ragi Mudde,,gluten_free,0.65
Plain Roti,Multigrain Roti,,low_gi,0.85
Plain Roti,Jowar Roti,,gluten_free,0.80
Plain Roti,Bajra Roti,,gluten_free,0.75
Plain Roti,Phulka,,low_cal,0.95
Steamed Rice,Brown Rice Steamed,,low_gi,0.90
Steamed Rice,Red Rice Steamed,,low_gi,0.88
Steamed Rice,Millet Khichdi,,diabetes_t2,0.70
Wheat Suji (Semolina),Wheat Flour (Whole),,fiber,0.70
Wheat Suji (Semolina),Bulgur Wheat (Daliya),,fiber,0.75
Oats (Rolled),Oats Porridge (Sweet, Milk),,prepared,0.95
Oats (Rolled),Daliya Khichdi,,fiber,0.80
Oats (Rolled),Ragi (Finger Millet),,calcium,0.65
Vermicelli (Sevai),Rice Vermicelli,,gluten_free,0.85
Vermicelli (Sevai),Foxtail Millet (Navane),,low_gi,0.55
Toor Dal (Pigeon Pea),Moong Dal (Green Gram Split),,ibs,0.85
Toor Dal (Pigeon Pea),Masoor Dal (Red Lentil Split),,iron,0.85
Toor Dal (Pigeon Pea),Chana Dal (Bengal Gram Split),,fiber,0.85
Moong Dal (Green Gram Split),Masoor Dal (Red Lentil Split),,quick_cook,0.95
Moong Dal (Green Gram Split),Toor Dal (Pigeon Pea),,common,0.90
Urad Dal (Black Gram Split),Moong Dal (Green Gram Split),,low_gas,0.80
Urad Dal (Black Gram Split),Chana Dal (Bengal Gram Split),,common,0.80
Rajma (Kidney Beans),Black-eyed Peas (Lobia),,less_gas,0.80
Rajma (Kidney Beans),Kabuli Chana (White Chickpea),,similar_use,0.85
Rajma (Kidney Beans),Black Chana (Kala Chana),,similar_use,0.85
Kabuli Chana (White Chickpea),Black Chana (Kala Chana),,iron,0.90
Kabuli Chana (White Chickpea),Rajma (Kidney Beans),,similar_use,0.85
Black Chana (Kala Chana),Kabuli Chana (White Chickpea),,similar_use,0.90
Black Chana (Kala Chana),Sprouted Chana (Black),,raw,0.95
Whole Moong (Green Gram),Moong Sprouts,,raw,0.90
Whole Moong (Green Gram),Whole Masoor (Brown Lentil),,quick_cook,0.85
Soybean (Yellow),Tofu (Soya Paneer),,easy_use,0.85
Soybean (Yellow),Soya Chunks (TVP),,easy_use,0.80
Soybean (Yellow),Whole Moong (Green Gram),,non_soy_protein,0.70
Soy Milk (Plain),Almond Milk (Unsweetened),,nut_pref,0.80
Soy Milk (Plain),Cow Milk (Toned),,if_not_vegan,0.85
Tofu (Soya Paneer),Paneer (Cottage Cheese),,if_not_vegan,0.85
Tofu (Soya Paneer),Tofu Silken,,texture_softer,0.95
Paneer (Cottage Cheese),Tofu (Soya Paneer),,lactose,0.85
Paneer (Cottage Cheese),Greek Yogurt (Hung Curd),lunch,lactose,0.70
Paneer (Cottage Cheese),Whey Protein (Plain),,high_protein,0.65
Chicken Breast (Skinless),Chicken Thigh (Skinless),,similar,0.90
Chicken Breast (Skinless),Pomfret (Pampus),,non_veg_alt,0.85
Chicken Breast (Skinless),Salmon (Farmed),,omega3,0.80
Chicken Breast (Skinless),Tofu (Soya Paneer),,vegetarian,0.65
Chicken Breast (Skinless),Paneer (Cottage Cheese),,vegetarian,0.70
Chicken Thigh (Skinless),Chicken Breast (Skinless),,leaner,0.92
Mutton (Goat) Lean,Chicken Thigh (Skinless),,heart,0.75
Mutton (Goat) Lean,Rohu (Carp),,heart,0.70
Rohu (Carp),Pomfret (Pampus),,similar,0.90
Rohu (Carp),Salmon (Farmed),,omega3,0.80
Pomfret (Pampus),Rohu (Carp),,cost,0.90
Pomfret (Pampus),Salmon (Farmed),,omega3,0.85
Prawns,Chicken Breast (Skinless),,allergy_shellfish,0.75
Prawns,Pomfret (Pampus),,seafood_alt,0.85
Chicken Egg (Whole),Egg White Only,,low_chol,0.85
Chicken Egg (Whole),Tofu (Soya Paneer),,vegetarian,0.70
Chicken Egg (Whole),Paneer (Cottage Cheese),,vegetarian,0.75
Cow Milk (Whole),Cow Milk (Toned),,low_fat,0.95
Cow Milk (Whole),Cow Milk (Skimmed),,low_fat,0.90
Cow Milk (Whole),Soy Milk (Plain),,vegan,0.80
Cow Milk (Whole),Almond Milk (Unsweetened),,vegan,0.75
Cow Milk (Toned),Cow Milk (Skimmed),,lower_fat,0.95
Cow Milk (Toned),Soy Milk (Plain),,vegan,0.80
Buffalo Milk,Cow Milk (Toned),,lighter,0.85
Curd (Cow),Greek Yogurt (Hung Curd),,high_protein,0.90
Curd (Cow),Buttermilk (Chaas),,light,0.80
Curd (Cow),Yogurt (Low Fat Plain),,low_fat,0.95
Greek Yogurt (Hung Curd),Curd (Cow),,common,0.95
Greek Yogurt (Hung Curd),Paneer (Cottage Cheese),,protein,0.75
Buttermilk (Chaas),Buttermilk Spiced (Masala Chaas),,prepared,0.98
Buttermilk (Chaas),Tender Coconut Water,,summer,0.70
Lassi (Sweet),Lassi (Salted),,low_sugar,0.85
Lassi (Sweet),Buttermilk Spiced (Masala Chaas),,low_cal,0.80
Ghee (Cow),Olive Oil,,heart,0.65
Ghee (Cow),Coconut Oil,,similar_use,0.75
Ghee (Cow),Mustard Oil,,heart,0.65
Ghee (Cow),Groundnut Oil,,neutral,0.80
Butter,Ghee (Cow),,similar,0.92
Butter,Olive Oil,,heart,0.60
Coconut Oil,Groundnut Oil,,neutral_flavor,0.85
Coconut Oil,Mustard Oil,,north_indian,0.75
Coconut Oil,Olive Oil,,heart,0.70
